Zonder dopper;Tijd (s);Temperatuur (graden);;Met dopper;Tijd (s);Temperatuur (graden)
;0;48.5;;;0;56.6
;30;46.5;;;60;54.6
;60;44.2;;;90;53.7
;90;42.2;;;120;52.5
;120;40.4;;;150;51.0
;150;38.8;;;180;49.3
;180;37.2;;;210;47.7
;210;36.5;;;240;46.3
;240;35.5;;;270;45.0
;270;34.5;;;300;44.0
;300;33.9;;;330;42.9
;330;33.3;;;360;41.9
;360;32.9;;;390;41.0
;390;32.5;;;420;40.3
;420;31.9;;;450;39.4
;450;31.2;;;480;38.9
;480;30.7;;;510;38.2
;510;30.5;;;540;37.6
;540;30.4;;;570;37.1
;;;;;600;36.5
;;;;;630;35.9
